FlexIdGenerator                    2,117,002 ops/s
PseudoRandomEncoder encode         1,064,233 ops/s
PseudoRandomEncoder decode         623,367 ops/s
MonotonicEncoder encode            1,265,694 ops/s
MonotonicEncoder decode            743,445 ops/s
NativeSerializer serialize         1,121,198 ops/s
NativeSerializer deserialize       720,875 ops/s
BCMathSerializer serialize         232,257 ops/s
BCMathSerializer deserialize       233,322 ops/s
Sparx64Encrypter encrypt           77,871 ops/s
Sparx64Encrypter decrypt           81,585 ops/s
